run_id,scan,axis,mu,D_w_over_D_u,stress,T,n_x,n_y,dt,seed,epsilon,baseline_turing_unstable,baseline_growth,ode_persistent,pde_persistent,classification,mean_w_ode,mean_w_pde,ode_tail_mean_w,ode_tail_min_w,ode_tail_slope_w,pde_tail_mean_w,pde_tail_min_w,pde_tail_slope_w,var_u_final,var_v_final,var_w_final,final_pattern_strength,final_pattern_measurable,final_quarter_mean_pattern_strength,persistent_pattern_measurable,dominant_wavelength_final,dominant_power_final,min_z_final,negative_detected,z_negative_detected,status
fine_009,fine_threshold,baseline_threshold,0.85,100.0,0.45,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",0.004245759521396027,0.004227004094239196,0.007070092879171854,0.004245759521396027,-0.0003823051519091568,0.006799121055042283,0.004227004094239196,-0.00036684754344124465,1.2067348237846284e-18,1.1046430357542466e-18,2.480502549949819e-21,1.2067348237846284e-18,False,1.3082586200001516e-17,False,20.0,1.6463081440612765e-13,1.2024651481882793,False,False,ok
fine_010,fine_threshold,baseline_threshold,0.85,100.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",0.00026282435528816807,0.00025989002048262957,0.0007271218190787121,0.00026282435528816807,-7.07427422623069e-05,0.0006759909769491944,0.00025989002048262957,-6.562383990688843e-05,1.4415769817520814e-18,1.4303239616245168e-18,2.6229682618588706e-23,1.4415769817520814e-18,False,1.6004098318918222e-17,False,20.0,1.5005166839045836e-13,1.197750074121741,False,False,ok
fine_011,fine_threshold,baseline_threshold,0.85,100.0,0.525,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",5.7931355982280286e-05,5.700736691180987e-05,0.0002128898117458999,5.7931355982280286e-05,-2.5068831495909575e-05,0.00019437930960208825,5.700736691180987e-05,-2.2811932058254808e-05,1.5474777851370123e-18,1.5443787629736013e-18,1.7357948554436906e-24,1.5474777851370123e-18,False,1.7212587001761525e-17,False,20.0,1.5294117304519329e-13,1.197501379784872,False,False,ok
fine_012,fine_threshold,baseline_threshold,0.85,100.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",1.2188498757491417e-05,1.1924026042343837e-05,6.0329828071908635e-05,1.2188498757491417e-05,-8.24502091063434e-06,5.406919889858143e-05,1.1924026042343837e-05,-7.353525048048492e-06,1.6412603794584895e-18,1.6403827950249392e-18,9.721620145962997e-26,1.6412603794584895e-18,False,1.8273280344376618e-17,False,20.0,1.5698811125095616e-13,1.1974451016421723,False,False,ok
fine_013,fine_threshold,baseline_threshold,0.85,100.0,0.575,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",2.480936512172824e-06,2.4103690280890597e-06,1.673878408422015e-05,2.480936512172824e-06,-2.5756787999918676e-06,1.471660188353133e-05,2.4103690280890597e-06,-2.2497798306043524e-06,1.7236803383832495e-18,1.7233504229184875e-18,4.840586260064751e-27,1.7236803383832495e-18,False,1.9205032571400943e-17,False,20.0,1.6093703147513184e-13,1.1974330065154841,False,False,ok
fine_014,fine_threshold,baseline_threshold,0.85,100.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",4.927857372793722e-07,4.748960654582724e-07,4.5797258798692844e-06,4.927857372793722e-07,-7.756866070588461e-07,3.947223757686691e-06,4.748960654582724e-07,-6.630540968784262e-07,1.7963233644122207e-18,1.7961167856587542e-18,2.2098460672747365e-28,1.7963233644122207e-18,False,2.0027160536770427e-17,False,14.142135623730947,1.6471809701135822e-13,1.1974305002381997,False,False,ok
fine_015,fine_threshold,mu,0.72,100.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.17207943445005985,False,False,"ODE extinct, PDE extinct",0.0004347181340696358,0.0004298948602616943,0.0012029407040266013,0.0004347181340696358,-0.00011706292796181023,0.0011184098757954473,0.0004298948602616943,-0.00010859626527128033,1.869244521688642e-18,1.8361569196416636e-18,1.6103530274005955e-22,1.869244521688642e-18,False,2.0566482659414083e-17,False,20.0,2.396510799559608e-13,1.1979596089748328,False,False,ok
fine_016,fine_threshold,mu,0.72,100.0,0.55,70.0,36,36,0.025,20260631,0.0001,True,0.17207943445005985,False,False,"ODE extinct, PDE extinct",1.9728543459430833e-05,1.9308406433676938e-05,9.765599952879365e-05,1.9728543459430833e-05,-1.3346653139559891e-05,8.755794579996894e-05,1.9308406433676938e-05,-1.1908427699057135e-05,2.2138023886273675e-18,2.211451596410179e-18,5.2539650940341435e-25,2.2138023886273675e-18,False,2.4501971815787604e-17,False,20.0,2.469915748402863e-13,1.19745457217193,False,False,ok
fine_017,fine_threshold,mu,0.72,100.0,0.6,70.0,36,36,0.025,20260631,0.0001,True,0.17207943445005985,False,False,"ODE extinct, PDE extinct",7.767885751808948e-07,7.492468004757131e-07,7.220269662602401e-06,7.767885751808948e-07,-1.222968026253743e-06,6.227889927406882e-06,7.492468004757131e-07,-1.0461802826532298e-06,2.4850428471167856e-18,2.4845532777248654e-18,1.0695009626625738e-27,2.4850428471167856e-18,False,2.756748653219208e-17,False,20.0,2.600019801734872e-13,1.1974309025117207,False,False,ok
fine_018,fine_threshold,mu,0.85,100.0,0.5,70.0,36,36,0.025,20260631,0.0001,True,0.20869132522452352,False,False,"ODE extinct, PDE extinct",0.00026282435528816807,0.00025989002048262957,0.0007271218190787121,0.00026282435528816807,-7.07427422623069e-05,0.0006759909769491944,0.00025989002048262957,-6.562383990688843e-05,1.4415769817520814e-18,1.4303239616245168e-18,2.6229682618588706e-23,1.4415769817520814e-18,False,1.6004098318918222e-17,False,20.0,1.5005166839045836e-13,1.197750074121741,False,False,ok
