row_type,axis,mu,D_w_over_D_u,stress,epsilon,T,dt,n_x,n_y,seed,s_c_ode,s_c_pde,delta_s_c,ode_persistent,pde_persistent,classification,baseline_turing_unstable,baseline_growth,final_mean_w_ode,final_mean_w_pde,var_u,var_v,var_w,dominant_wavelength,pattern_measurable,robustness_passed,status
threshold,baseline,0.85,100.0,,0.0001,35.0,0.025,36,36,20260602,0.6539062500000001,0.6468750000000001,-0.007031250000000044,,,,True,0.20869132522452352,,,,,,,,,ok
phase_point,stress_mu,0.72,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.9384528059320547,0.9384533924611823,2.757390228923295e-08,6.75829604019978e-07,7.565071140545073e-09,1.655211777204736,False,,ok
phase_point,stress_mu,0.72,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,1.0605886334789405,1.0605904455919208,5.0224576549717976e-08,1.2878024304334625e-07,5.095799354116076e-10,2.030692330267238,False,,ok
phase_point,stress_mu,0.72,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.01609985529017683,0.015992075924793358,5.954393158088065e-15,5.797012517581618e-15,1.5308289900687145e-18,20.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.17207943445005985,0.00019274510515365195,0.00018766569238608545,8.487254054945343e-15,8.430473264030664e-15,5.4599174792730585e-22,10.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17207943445005985,7.47176771271143e-06,7.1041459247095794e-06,9.339670868219338e-15,9.27870553678128e-15,1.0418643419668412e-24,10.0,False,,ok
phase_point,stress_mu,0.72,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.17207943445005985,2.6446831281415743e-07,2.433558802837717e-07,9.874491483363124e-15,9.809205707831081e-15,1.4649718694927547e-27,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.9693518737227863,0.96935389301108,5.395674208556086e-07,4.9379358314887285e-06,4.7790754259572124e-08,1.655211777204736,False,,ok
phase_point,stress_mu,0.8,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.552070746153944,0.5515598348526252,2.4781350769058455e-15,8.149395087489857e-16,2.7822618316469e-16,20.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.011460529330397368,0.011383989074654186,4.8723979606472466e-15,4.789618598081618e-15,5.165960785345911e-19,6.666666666666666,False,,ok
phase_point,stress_mu,0.8,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.19935029933703985,0.00014512027713369007,0.00014119480402481513,6.566200201708222e-15,6.534813188937648e-15,2.314863623958459e-22,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.19935029933703985,5.808188636255351e-06,5.516165948179926e-06,7.169282818419026e-15,7.136264382058028e-15,4.872590071263041e-25,10.0,False,,ok
phase_point,stress_mu,0.8,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.19935029933703985,2.1089053018080995e-07,1.937331760951454e-07,7.568815867096028e-15,7.533760846046247e-15,7.370247170239947e-28,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.992480219943484,0.9924827087559348,1.7939351209870202e-06,1.0390380995953631e-05,8.621296775690642e-08,1.7541160386140584,True,,ok
phase_point,stress_mu,0.85,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.425793485749037,0.42566268225896375,9.213848269774159e-16,7.033411587916162e-16,1.2289721357080347e-17,20.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.009705371914768439,0.009639745096768399,4.512666578798627e-15,4.451497660150873e-15,3.0919114343862e-19,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20869132522452352,0.00012542284730004272,0.00012198284127470475,5.934286259971515e-15,5.910844164700905e-15,1.5017902990449157e-22,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,5.092371298016749e-06,4.83353976878106e-06,6.454531835646785e-15,6.4301370379075825e-15,3.2980591250951897e-25,10.0,False,,ok
phase_point,stress_mu,0.85,100.0,0.85,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20869132522452352,1.871791914317848e-07,1.7182621470891623e-07,6.808155048120969e-15,6.782385016276828e-15,5.161155307637413e-28,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.0,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,1.0141762784325083,1.0141778108088773,2.5974021512782907e-06,1.081310843307299e-05,7.488776093582583e-08,1.7541160386140584,True,,ok
phase_point,stress_mu,0.89,100.0,0.25,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.37285407268024984,0.3727721857562168,8.699931824181706e-16,7.65920509729118e-16,3.48595898341416e-18,20.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.5,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.008625055286918398,0.008565843240263762,4.294484483431051e-15,4.2451905315691735e-15,2.16970481949268e-19,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.65,0.0001,35.0,0.025,36,36,20260602,,,,True,True,"ODE persistent, PDE persistent",True,0.20795170015809653,0.00011260599954374852,0.00010948056206850149,5.559269194345545e-15,5.540500760687697e-15,1.100132799304949e-22,10.0,False,,ok
phase_point,stress_mu,0.89,100.0,0.75,0.0001,35.0,0.025,36,36,20260602,,,,False,False,"ODE extinct, PDE extinct",True,0.20795170015809653,4.6119266550026975e-06,4.375366850510013e-06,6.0311158565708114e-15,6.0117572682467805e-15,2.478552360025529e-25,10.0,False,,ok
