stress,q0,w0_scale,ode_classification,ode_basin_label,pde_classification,pde_basin_label,labels_agree,notes
0.1584375,0.0,0.02,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,0.05,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,0.1,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,0.2,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,0.5,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,1.0,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.0,1.5,persistent_steady,persistent_basin,declining_transient,transient_basin,False,ode_persistent_basin_pde_transient_basin
0.1584375,0.1,0.02,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,0.05,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,0.1,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,0.2,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,0.5,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,1.0,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.1,1.5,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.2,0.02,declining_transient,transient_basin,declining_transient,transient_basin,True,labels_agree
0.1584375,0.2,0.05,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.2,0.1,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.2,0.2,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
0.1584375,0.2,0.5,persistent_steady,persistent_basin,persistent_steady,persistent_basin,True,labels_agree
