case_label,stress,q0,w0_scale,perturbation_amplitude,seed,classification,basin_label,tail_mean_w,tail_mean_q,final_var_n,final_var_w,final_var_q,final_cv_n,final_cv_w,final_cv_q,normalized_residual,physical,notes
persistent_case,0.1584375,0.1,0.1,0.0,20260702,persistent_steady,persistent_basin,0.6416666583772629,0.21415079353792046,0.0,1.232595164407831e-32,3.0814879110195774e-33,0.0,1.7302177010861577e-16,2.592152509615128e-16,7.706033304201917e-13,True,homogeneous_initial_condition
persistent_case,0.1584375,0.1,0.1,0.0,20260703,persistent_steady,persistent_basin,0.6416666583772629,0.21415079353792046,0.0,1.232595164407831e-32,3.0814879110195774e-33,0.0,1.7302177010861577e-16,2.592152509615128e-16,7.706033304201917e-13,True,homogeneous_initial_condition
persistent_case,0.1584375,0.1,0.1,1e-05,20260702,persistent_steady,persistent_basin,0.6416666583772617,0.21415079353792016,7.769201395658109e-31,1.7445916030610252e-31,8.995823167972802e-34,1.82364979523475e-16,6.509346795748472e-16,1.4005569420531012e-16,7.707105744872738e-13,True,targeted_perturbation_run
persistent_case,0.1584375,0.1,0.1,1e-05,20260703,persistent_steady,persistent_basin,0.6416666583772636,0.2141507935379206,1.0342243801359457e-30,2.0786200777906864e-31,1.2930437859045163e-33,2.104072199179168e-16,7.1052290035002185e-16,1.6791400925334958e-16,7.707254625247728e-13,True,targeted_perturbation_run
persistent_case,0.1584375,0.1,0.1,0.001,20260702,persistent_steady,persistent_basin,0.641666658377123,0.2141507935378918,1.3050769600858613e-27,3.4063240424953e-28,7.288673975211457e-30,7.47431356894475e-15,2.876295493992984e-14,1.260679172101773e-14,7.705756565365362e-13,True,targeted_perturbation_run
persistent_case,0.1584375,0.1,0.1,0.001,20260703,persistent_steady,persistent_basin,0.6416666583773138,0.21415079353793473,2.4405530625950826e-27,6.393597837955229e-28,9.026447146800424e-30,1.0221093937963608e-14,3.940607491484084e-14,1.4029388355607155e-14,7.706602522638346e-13,True,targeted_perturbation_run
extinct_case,0.16486816,0.9,0.02,0.0,20260702,extinct_steady,extinct_basin,8.981109556674354e-12,9.901354529055567e-06,7.888609052210118e-31,0.0,4.484155085839415e-44,1.4520628489169633e-16,0.0,2.5908753347812115e-16,1.309795468056641e-09,True,homogeneous_initial_condition
extinct_case,0.16486816,0.9,0.02,0.0,20260703,extinct_steady,extinct_basin,8.981109556674354e-12,9.901354529055567e-06,7.888609052210118e-31,0.0,4.484155085839415e-44,1.4520628489169633e-16,0.0,2.5908753347812115e-16,1.309795468056641e-09,True,homogeneous_initial_condition
extinct_case,0.16486816,0.9,0.02,1e-05,20260702,extinct_steady,extinct_basin,8.981075559351857e-12,9.90135702314297e-06,1.4945487366047425e-25,3.3496432882220734e-31,4.0442797939185076e-24,6.320337040018735e-14,3.1009272706128344e-05,2.460518824975077e-06,1.3097958625577462e-09,True,targeted_perturbation_run
extinct_case,0.16486816,0.9,0.02,1e-05,20260703,extinct_steady,extinct_basin,8.981133208267871e-12,9.90135304821514e-06,1.9801188279710986e-25,3.8391608996610083e-31,5.355852465058953e-24,7.274963587888391e-14,3.3197673862001166e-05,2.831526135115452e-06,1.3097953392413741e-09,True,targeted_perturbation_run
extinct_case,0.16486816,0.9,0.02,0.001,20260702,extinct_steady,extinct_basin,8.977823263553603e-12,9.901614484930511e-06,1.4946710778506895e-21,3.354157818330861e-27,4.044868243922419e-20,6.320595720809324e-12,0.0031041371869115087,0.0002460634038722202,1.3098299013238614e-09,True,targeted_perturbation_run
extinct_case,0.16486816,0.9,0.02,0.001,20260703,extinct_steady,extinct_basin,8.983611767434638e-12,9.901216809456399e-06,1.981109143475411e-21,3.8311272186304616e-27,5.3588689932543735e-20,7.276782571817693e-12,0.0033153623093500036,0.0002832364089758042,1.3097768242886727e-09,True,targeted_perturbation_run
transient_case,0.1584375,0.7,0.02,0.0,20260702,recovery_transient,transient_basin,0.4508547202319184,4.500695761000708e-06,0.0,4.930380657631324e-32,0.0,0.0,1.6958016406267222e-16,0.0,5.4867150537677304e-08,True,homogeneous_initial_condition
transient_case,0.1584375,0.7,0.02,0.0,20260703,recovery_transient,transient_basin,0.4508547202319184,4.500695761000708e-06,0.0,4.930380657631324e-32,0.0,0.0,1.6958016406267222e-16,0.0,5.4867150537677304e-08,True,homogeneous_initial_condition
transient_case,0.1584375,0.7,0.02,1e-05,20260702,recovery_transient,transient_basin,0.4508543402920911,4.500694190243271e-06,1.0838181210854396e-19,2.4513321617325546e-20,7.231500548353644e-21,9.411730478224612e-11,1.1957376588536776e-10,1.830398825364902e-05,5.486703037830192e-08,True,targeted_perturbation_run
transient_case,0.1584375,0.7,0.02,1e-05,20260703,recovery_transient,transient_basin,0.45085498741793784,4.500696930062044e-06,1.2347109618906857e-19,2.7926330777892655e-20,8.240495602573556e-21,1.004555486175993e-10,1.2762676598563654e-10,1.9539189737914335e-05,5.486723697288999e-08,True,targeted_perturbation_run
transient_case,0.1584375,0.7,0.02,0.001,20260702,recovery_transient,transient_basin,0.45081704577878046,4.500543568283897e-06,1.084367819838773e-15,2.452575435496516e-16,7.235169691843522e-17,9.414116940927438e-09,1.1960408475988251e-08,0.0018312532956218284,5.4855441002149904e-08,True,targeted_perturbation_run
transient_case,0.1584375,0.7,0.02,0.001,20260703,recovery_transient,transient_basin,0.4508818450150037,4.500818243171886e-06,1.2335723848250019e-15,2.7900578565708646e-16,8.232894574472122e-17,1.0040922078413922e-08,1.275679071582985e-08,0.0019527055259931938,5.487615303437693e-08,True,targeted_perturbation_run
