shape_label,gamma_r,gamma_a,gamma_b,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,physical,notes
linear_reference,1.0,1.0,1.0,0.1584375,0.0,0.02,persistent_steady,persistent_basin,1.3093869639073143,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,0.05,persistent_steady,persistent_basin,1.3093869638963085,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,0.1,persistent_steady,persistent_basin,1.309386963907042,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,0.2,persistent_steady,persistent_basin,1.309386963907038,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,0.5,persistent_steady,persistent_basin,1.3093869639070377,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,1.0,persistent_steady,persistent_basin,1.3093869639070501,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.0,1.5,persistent_steady,persistent_basin,1.3093869639070383,0.0,0.0,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,0.02,persistent_steady,persistent_basin,0.6416650911922652,0.214150895037701,0.11415089503770098,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,0.05,persistent_steady,persistent_basin,0.6416667616663431,0.21415078545808178,0.11415078545808177,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,0.1,persistent_steady,persistent_basin,0.6416666600028601,0.21415079357417044,0.11415079357417043,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,0.2,persistent_steady,persistent_basin,0.6416666618434788,0.21415079195773204,0.11415079195773203,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,0.5,persistent_steady,persistent_basin,0.6416666671759922,0.21415079155534733,0.11415079155534733,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,1.0,persistent_steady,persistent_basin,0.6416666671780267,0.2141507915214753,0.11415079152147528,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.1,1.5,persistent_steady,persistent_basin,0.641666667355312,0.21415079153569666,0.11415079153569666,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.2,0.02,declining_transient,transient_basin,0.6416909833807788,0.2141493608380692,0.014149360838069197,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.2,0.05,persistent_steady,persistent_basin,0.6416660944272606,0.21415078226817966,0.014150782268179646,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.2,0.1,persistent_steady,persistent_basin,0.6416667054729541,0.21415079207795001,0.014150792077950003,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.2,0.2,persistent_steady,persistent_basin,0.6416666634540173,0.21415079198254444,0.01415079198254443,True,ode_solve_success
linear_reference,1.0,1.0,1.0,0.1584375,0.2,0.5,persistent_steady,persistent_basin,0.6416666669193501,0.214150791662386,0.014150791662385975,True,ode_solve_success
