gamma_r,gamma_a,gamma_b,target_stresses_total,target_stresses_with_branch,target_stresses_stable,min_q_star,max_q_star,stress_interval_low_estimate,stress_interval_high_estimate,shape_class
0.5,0.5,0.5,4,4,4,0.027630611002,0.110328793966,-0.11313871609717899,0.2320988611111111,robust_compensation_shape
0.5,0.5,1.0,4,4,4,0.166224580018,0.332157784744,-0.1131385433055555,0.23244409886111117,robust_compensation_shape
0.5,0.5,2.0,4,4,4,0.407706487584,0.576331315082,-0.11313819772256774,0.23244444444409895,robust_compensation_shape
0.5,1.0,0.5,4,0,0,nan,nan,-0.682772715964445,0.06567162725118034,no_compensation_shape
0.5,1.0,1.0,4,2,2,0.285611629995,0.441107593748,-0.6817090462589727,0.16269482002559987,partial_compensation_shape
0.5,1.0,2.0,4,4,4,0.533244153434,0.683954768008,-0.6812246991426225,0.2362956090763891,robust_compensation_shape
0.5,2.0,0.5,4,0,0,nan,nan,-0.6469454561599406,0.03778786781540647,no_compensation_shape
0.5,2.0,1.0,4,1,1,0.487954585733,0.487954585733,-0.6457146996788174,0.12210020187761489,partial_compensation_shape
0.5,2.0,2.0,4,4,1,0.589736160328,0.7257549827,-0.6445998074519907,0.2211682289587296,partial_compensation_shape
1.0,0.5,0.5,4,3,2,0.002154613648,0.098390807359,-0.4337597399731549,0.16905054272100398,partial_compensation_shape
1.0,0.5,1.0,4,4,3,0.097742235571,0.268682908916,-0.4337595899095765,0.1819055826630813,partial_compensation_shape
1.0,0.5,2.0,4,4,4,0.283028181167,0.422587355905,-0.43375928978264494,0.1989696425869796,robust_compensation_shape
1.0,1.0,0.5,4,4,4,0.027630611002,0.110328793966,-0.11313871609717899,0.2320988611111112,robust_compensation_shape
1.0,1.0,1.0,4,4,4,0.166224580018,0.332157784744,-0.1131385433055555,0.23244409886111125,robust_compensation_shape
1.0,1.0,2.0,4,4,4,0.407706487584,0.576331315082,-0.11313819772256774,0.23244444444409904,robust_compensation_shape
1.0,2.0,0.5,4,0,0,nan,nan,-0.6868149041761853,-0.008469341471604969,no_compensation_shape
1.0,2.0,1.0,4,0,0,nan,nan,-0.6862528422968612,0.06567163620004343,no_compensation_shape
1.0,2.0,2.0,4,2,2,0.534426449565,0.664159313529,-0.6857342663738457,0.1626948176485119,partial_compensation_shape
2.0,0.5,0.5,4,3,3,0.000446940681,0.069282573852,-0.8727005905243085,0.1689314835712224,partial_compensation_shape
2.0,0.5,1.0,4,3,2,0.024823412276,0.268610331681,-0.8725072142454556,0.16913313172157846,partial_compensation_shape
2.0,0.5,2.0,4,3,3,0.274840485817,0.433324691814,-0.8721960867717149,0.1725182256149942,partial_compensation_shape
2.0,1.0,0.5,4,3,0,0.000457622253,0.078760765673,-0.43375913275503275,0.1689316024063173,unresolved_shape
2.0,1.0,1.0,4,3,1,0.046417816065,0.313673089951,-0.433758982691318,0.16913325073442378,partial_compensation_shape
2.0,1.0,2.0,4,4,3,0.055058565466,0.518346321407,-0.4337586825641136,0.18190558968936854,partial_compensation_shape
2.0,2.0,0.5,4,4,4,0.027630611002,0.110328793966,-0.11313871609717899,0.2320988611111112,robust_compensation_shape
2.0,2.0,1.0,4,4,4,0.166224580018,0.332157784744,-0.1131385433055555,0.23244409886111125,robust_compensation_shape
2.0,2.0,2.0,4,4,4,0.407706487584,0.576331315082,-0.11313819772256774,0.23244444444409904,robust_compensation_shape
