r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_c_positive,valid_denominator,valid_z,valid_w,valid_n,s_q0,s_q1,interior_stress_interval_low,interior_stress_interval_high,interior_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p11765625,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,stability_at_s_0p1584375,stability_at_s_0p16486816,condition_class
0.55,0.25,0.06,0.015,0.25,0.6,True,True,True,True,True,0.10349999999999995,-0.172875,-0.172875,0.10349999999999995,0.2763749999999999,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.06,0.03,0.5,0.6,True,True,True,True,True,0.10349999999999995,-0.08075000000000002,-0.08075000000000002,0.10349999999999995,0.18424999999999997,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.06,0.045,0.75,0.6,True,True,True,True,True,0.10349999999999995,0.011374999999999968,0.011374999999999968,0.10349999999999995,0.09212499999999998,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.25,0.08,0.02,0.25,0.6,True,True,True,True,True,0.2263333333333333,-0.14216666666666666,-0.14216666666666666,0.2263333333333333,0.36849999999999994,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.08,0.04,0.5,0.6,True,True,True,True,True,0.2263333333333333,-0.01933333333333334,-0.01933333333333334,0.2263333333333333,0.24566666666666664,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.08,0.06,0.75,0.6,True,True,True,True,True,0.2263333333333333,0.10349999999999995,0.10349999999999995,0.2263333333333333,0.12283333333333335,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.025,0.25,0.6,True,True,True,True,True,0.34916666666666674,-0.11145833333333333,-0.11145833333333333,0.34916666666666674,0.46062500000000006,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.05,0.5,0.6,True,True,True,True,True,0.34916666666666674,0.04208333333333336,0.04208333333333336,0.34916666666666674,0.3070833333333334,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.25,0.1,0.07500000000000001,0.7500000000000001,0.6,True,True,True,True,True,0.34916666666666674,0.19562500000000008,0.19562500000000008,0.34916666666666674,0.15354166666666666,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.015,0.25,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.20244299999999998,-0.20244299999999998,0.08422799999999997,0.28667099999999995,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.03,0.5,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.10688599999999998,-0.10688599999999998,0.08422799999999997,0.19111399999999995,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.06,0.045,0.75,0.6428571428571428,True,True,True,True,True,0.08422799999999997,-0.011329000000000006,-0.011329000000000006,0.08422799999999997,0.09555699999999998,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.3,0.08,0.02,0.25,0.6428571428571428,True,True,True,True,True,0.21163733333333334,-0.17059066666666664,-0.17059066666666664,0.21163733333333334,0.382228,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.08,0.04,0.5,0.6428571428571428,True,True,True,True,True,0.21163733333333334,-0.04318133333333332,-0.04318133333333332,0.21163733333333334,0.25481866666666664,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.08,0.06,0.75,0.6428571428571428,True,True,True,True,True,0.21163733333333334,0.08422799999999997,0.08422799999999997,0.21163733333333334,0.12740933333333337,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.025,0.25,0.6428571428571428,True,True,True,True,True,0.3390466666666667,-0.1387383333333333,-0.1387383333333333,0.3390466666666667,0.477785,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.05,0.5,0.6428571428571428,True,True,True,True,True,0.3390466666666667,0.020523333333333366,0.020523333333333366,0.3390466666666667,0.3185233333333334,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.3,0.1,0.07500000000000001,0.7500000000000001,0.6428571428571428,True,True,True,True,True,0.3390466666666667,0.17978500000000008,0.17978500000000008,0.3390466666666667,0.15926166666666663,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.015,0.25,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.2498578124999999,-0.2498578124999999,0.043068750000000156,0.29292656250000004,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.03,0.5,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.15221562499999988,-0.15221562499999988,0.043068750000000156,0.19528437500000004,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.06,0.045,0.75,0.6923076923076922,True,True,True,True,True,0.043068750000000156,-0.054573437499999905,-0.054573437499999905,0.043068750000000156,0.09764218750000006,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.35,0.08,0.02,0.25,0.6923076923076922,True,True,True,True,True,0.17325833333333346,-0.21731041666666656,-0.21731041666666656,0.17325833333333346,0.39056875,True,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.08,0.04,0.5,0.6923076923076922,True,True,True,True,True,0.17325833333333346,-0.08712083333333323,-0.08712083333333323,0.17325833333333346,0.2603791666666667,True,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.08,0.06,0.75,0.6923076923076922,True,True,True,True,True,0.17325833333333346,0.043068750000000156,0.043068750000000156,0.17325833333333346,0.1301895833333333,False,True,True,True,False,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.025,0.25,0.6923076923076922,True,True,True,True,True,0.3034479166666669,-0.1847630208333332,-0.1847630208333332,0.3034479166666669,0.4882109375000001,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.05,0.5,0.6923076923076922,True,True,True,True,True,0.3034479166666669,-0.022026041666666524,-0.022026041666666524,0.3034479166666669,0.32547395833333337,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.35,0.1,0.07500000000000001,0.7500000000000001,0.6923076923076922,True,True,True,True,True,0.3034479166666669,0.14071093750000024,0.14071093750000024,0.3034479166666669,0.16273697916666663,False,False,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.06,0.015,0.25,0.75,True,True,True,True,True,-0.05820000000000014,-0.33705000000000007,-0.33705000000000007,-0.05820000000000014,0.27884999999999993,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.06,0.03,0.5,0.75,True,True,True,True,True,-0.05820000000000014,-0.2441000000000001,-0.2441000000000001,-0.05820000000000014,0.18589999999999995,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.06,0.045,0.75,0.75,True,True,True,True,True,-0.05820000000000014,-0.1511500000000001,-0.1511500000000001,-0.05820000000000014,0.09294999999999995,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.02,0.25,0.75,True,True,True,True,True,0.0657333333333332,-0.30606666666666676,-0.30606666666666676,0.0657333333333332,0.37179999999999996,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.04,0.5,0.75,True,True,True,True,True,0.0657333333333332,-0.18213333333333342,-0.18213333333333342,0.0657333333333332,0.24786666666666662,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.08,0.06,0.75,0.75,True,True,True,True,True,0.0657333333333332,-0.05820000000000014,-0.05820000000000014,0.0657333333333332,0.12393333333333334,True,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.4,0.1,0.025,0.25,0.75,True,True,True,True,True,0.18966666666666665,-0.2750833333333334,-0.2750833333333334,0.18966666666666665,0.46475000000000005,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.1,0.05,0.5,0.75,True,True,True,True,True,0.18966666666666665,-0.12016666666666673,-0.12016666666666673,0.18966666666666665,0.3098333333333334,True,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.4,0.1,0.07500000000000001,0.7500000000000001,0.75,True,True,True,True,True,0.18966666666666665,0.03474999999999995,0.03474999999999995,0.18966666666666665,0.1549166666666667,False,True,True,True,True,stable,stable,valid_stable_compensation_branch
0.55,0.45,0.06,0.015,0.25,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.5420624999999993,-0.5420624999999993,-0.38324999999999865,0.1588125000000007,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.06,0.03,0.5,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.4891249999999991,-0.4891249999999991,-0.38324999999999865,0.10587500000000044,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.06,0.045,0.75,0.818181818181818,True,True,True,True,True,-0.38324999999999865,-0.4361874999999989,-0.4361874999999989,-0.38324999999999865,0.05293750000000025,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.02,0.25,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.5244166666666659,-0.5244166666666659,-0.3126666666666651,0.21175000000000077,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.04,0.5,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.4538333333333323,-0.4538333333333323,-0.3126666666666651,0.14116666666666722,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.08,0.06,0.75,0.818181818181818,True,True,True,True,True,-0.3126666666666651,-0.38324999999999865,-0.38324999999999865,-0.3126666666666651,0.07058333333333355,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.1,0.025,0.25,0.818181818181818,True,True,True,True,True,-0.24208333333333137,-0.5067708333333325,-0.5067708333333325,-0.24208333333333137,0.26468750000000113,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
0.55,0.45,0.1,0.05,0.5,0.818181818181818,True,True,True,True,True,-0.24208333333333137,-0.4185416666666655,-0.4185416666666655,-0.24208333333333137,0.1764583333333341,False,False,False,False,False,not_interior,not_interior,valid_branch_outside_target_stress
