parameter_set_label,r_v,a_v,b_u,b_v,stress,q0,w0_scale,classification,basin_label,tail_mean_w,tail_mean_q,q_change,selection_gradient_tail_mean,predator_growth_factor_tail_mean,physical,notes
current,0.65,0.35,0.08,0.02,0.1584375,0.0,0.02,persistent_steady,persistent_basin,1.3093869639072306,0.0,0.0,0.20031608917215848,-3.8039530373360455e-14,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,0.05,persistent_steady,persistent_basin,1.3093869638960944,0.0,0.0,0.2003160891694375,2.1538073108271796e-12,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,0.1,persistent_steady,persistent_basin,1.309386963910206,0.0,0.0,0.20031608917288557,-6.237417989514901e-13,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,0.2,persistent_steady,persistent_basin,1.309386963907038,0.0,0.0,0.2003160891721114,-1.4254715377903244e-16,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,0.5,persistent_steady,persistent_basin,1.3093869639070375,0.0,0.0,0.20031608917211133,-4.3175339846533866e-17,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,1.0,persistent_steady,persistent_basin,1.3093869639070501,0.0,0.0,0.20031608917211433,-2.509652293936619e-15,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.0,1.5,persistent_steady,persistent_basin,1.3093869639070383,0.0,0.0,0.20031608917211152,-2.227299277797382e-16,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,0.02,persistent_steady,persistent_basin,0.6416650911920466,0.21415089503769344,0.11415089503769343,-5.066700322521583e-07,4.397233687526411e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,0.05,persistent_steady,persistent_basin,0.6416667639206061,0.21415078549273733,0.11415078549273733,3.127277018893994e-08,-2.7575435158893677e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,0.1,persistent_steady,persistent_basin,0.6416666573696477,0.21415079360072678,0.11415079360072677,-2.9924243309613302e-09,-1.7215696666593193e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,0.2,persistent_steady,persistent_basin,0.6416666623147929,0.21415079186857844,0.11415079186857843,-1.3937388835631264e-09,1.705416654946478e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,0.5,persistent_steady,persistent_basin,0.6416666662989301,0.21415079161770215,0.11415079161770214,-1.1373324572936822e-10,5.6658411501581335e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,1.0,persistent_steady,persistent_basin,0.641666667236121,0.21415079151527394,0.11415079151527394,1.889536407998041e-10,4.3761691801178254e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.1,1.5,persistent_steady,persistent_basin,0.6416666673694537,0.21415079172769497,0.11415079172769496,2.2485510846960143e-10,-3.1514703741007144e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,0.02,declining_transient,transient_basin,0.6416909845491346,0.21414936019685035,0.014149360196850341,7.815420459421917e-06,-7.318323043331782e-07,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.2,0.05,persistent_steady,persistent_basin,0.641666093138214,0.21415078246405078,0.01415078246405077,-1.8296158488799538e-07,3.1170874432704e-08,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,0.1,persistent_steady,persistent_basin,0.6416667054740505,0.2141507920779113,0.014150792077911284,1.2389337804645878e-08,-2.01671481949004e-09,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,0.2,persistent_steady,persistent_basin,0.6416666624623465,0.21415079178793026,0.014150791787930245,-1.345057062300348e-09,1.9009187502546968e-10,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,0.5,persistent_steady,persistent_basin,0.6416666675738423,0.21415079170318754,0.014150791703187532,2.9093754086268665e-10,-3.362689619212796e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,1.0,persistent_steady,persistent_basin,0.6416666668516382,0.2141507917589216,0.014150791758921588,5.841118398292113e-11,-1.61789367911122e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.2,1.5,persistent_steady,persistent_basin,0.6416666664802588,0.2141507917019165,0.014150791701916493,-5.845430244097073e-11,2.0506695450096385e-11,True,current_parameterization;steady_by_tail_change_and_rhs_residual
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.02,declining_transient,transient_basin,0.6413761652596124,0.2143131583009901,-0.08568684169900989,-9.804253593108398e-05,-3.8707434703125656e-05,True,current_parameterization;window_change_indicates_transient
current,0.65,0.35,0.08,0.02,0.1584375,0.3,0.05,declining_transient,transient_basin,0.6417038992187218,0.21414233201990107,-0.08585766798009892,1.2164071202006262e-05,9.070361401138009e-07,True,current_parameterization;window_change_indicates_transient
