parameter_set_label,stress,equilibrium_id,n_star,w_star,q_star,z_star,selection_gradient,predator_growth_factor,max_real_eigenvalue,stability_label,physical,notes
current,0.0,current_s0_eq01,4.833333333333333,0.6416666666666668,0.6726147415802589,1.191666666666667,0.0,-5.551115123125783e-17,-0.012273491307551206,stable,True,least_squares_residual=8.057e-16
current,0.0,current_s0_eq02,5.820512805128777,9.99999930832674e-09,0.999999999998749,0.8461538515378908,-0.29615384153826224,-0.001499015439923647,0.014807692076469942,unstable,True,least_squares_residual=1.499e-11
current,0.0,current_s0_eq03,6.116666646651235,9.998091058789479e-09,9.999999324883674e-11,0.5500000100173408,-0.19249999700731008,0.16913333533466984,0.16913333710801107,unstable,True,least_squares_residual=1.691e-09
current,0.0,current_s0_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.3333333198333333,-0.10000000066666667,3.7833333105666673,unstable,True,least_squares_residual=3.785e-08
current,0.0,current_s0_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.3333333198333333,-0.09999999666666669,6.116666626433334,unstable,True,least_squares_residual=6.117e-08
current,0.11765625,current_s0p11765625_eq01,4.833333333333345,0.6416666666666608,0.33215778474399316,1.1916666666666615,-1.9984014443252818e-15,-2.7755575615628914e-17,-0.023581704066177933,stable,True,least_squares_residual=5.374e-16
current,0.11765625,current_s0p11765625_eq02,6.116666646647771,9.999823076591361e-09,9.999999324783277e-11,0.5500000100190726,-0.1924999970067904,0.05147708533501851,0.0514770872739857,unstable,True,least_squares_residual=5.148e-10
current,0.11765625,current_s0p11765625_eq03,5.820512805135243,9.995800187813427e-09,0.999999999998736,0.846153851535624,-0.29615384154019825,-0.11915526543923441,0.014807692077388248,unstable,True,least_squares_residual=1.191e-09
current,0.11765625,current_s0p11765625_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.3333333198333333,-0.21765625066666666,3.7833333105666678,unstable,True,least_squares_residual=3.790e-08
current,0.11765625,current_s0p11765625_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.3333333198333333,-0.21765624666666666,6.116666626433334,unstable,True,least_squares_residual=6.121e-08
current,0.1584375,current_s0p1584375_eq01,4.833333333333071,0.6416666666668027,0.21415079173697812,1.1916666666667932,4.418687638008123e-14,-5.551115123125783e-17,-0.015893894907734317,stable,True,least_squares_residual=6.538e-16
current,0.1584375,current_s0p1584375_eq02,6.116666646647433,9.999992330309182e-09,9.999999324749879e-11,0.5500000100192418,-0.19249999700673961,0.010695835335052563,0.010695837332836924,unstable,True,least_squares_residual=1.070e-10
current,0.1584375,current_s0p1584375_eq03,5.8205128051404165,9.992438549776537e-09,0.9999999999987318,0.846153851533812,-0.29615384154174906,-0.15993651543868423,0.014807692077465632,unstable,True,least_squares_residual=1.598e-09
current,0.1584375,current_s0p1584375_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.3333333198333333,-0.25843750066666665,3.783333310566667,unstable,True,least_squares_residual=3.792e-08
current,0.1584375,current_s0p1584375_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.3333333198333333,-0.25843749666666666,6.116666626433333,unstable,True,least_squares_residual=6.122e-08
current,0.16486816,current_s0p16486816_eq01,4.833333333333334,0.6416666666666666,0.1955426605578331,1.1916666666666664,5.551115123125783e-17,2.7755575615628914e-17,-0.014652470615553227,stable,True,least_squares_residual=1.073e-15
current,0.16486816,current_s0p16486816_eq02,6.116666666666667,1.8366511525974288e-20,3.192054343020608e-17,0.5499999999999998,-0.19249999999999992,0.004265173333333261,0.004265173333333259,unstable,True,least_squares_residual=1.358e-15
current,0.16486816,current_s0p16486816_eq03,5.8205128051413695,9.991819287398284e-09,0.9999999999987311,0.8461538515334782,-0.29615384154203483,-0.16636717543858295,0.014807692077479893,unstable,True,least_squares_residual=1.662e-09
current,0.16486816,current_s0p16486816_eq04,1e-08,1e-08,0.9999999999,6.666666646666667,-2.3333333198333333,-0.2648681606666667,3.7833333105666673,unstable,True,least_squares_residual=3.793e-08
current,0.16486816,current_s0p16486816_eq05,1e-08,1e-08,1e-10,6.666666646666667,-2.3333333198333333,-0.2648681566666667,6.116666626433334,unstable,True,least_squares_residual=6.122e-08
current,0.175,current_s0p175_eq01,4.833333333333334,0.6416666666666666,0.16622458001768367,1.1916666666666664,5.551115123125783e-17,-1.942890293094024e-16,-0.012681581447524258,stable,True,least_squares_residual=1.080e-15
current,0.175,current_s0p175_eq02,6.056972608138474,0.029847029264069055,2.961539227192857e-13,0.5798470292641241,-0.18354589122079853,1.8517652689009623e-13,0.005699541944573263,unstable,True,least_squares_residual=7.141e-15
current,0.175,current_s0p175_eq03,6.116666646647422,9.999997669661769e-09,9.999999324736521e-11,0.550000010019247,-0.19249999700673798,-0.005866664664946487,-0.005866662643062774,stable,True,least_squares_residual=5.867e-11
