r_v,a_v,b_u,b_v,b_v_over_b_u,c,valid_selection_ratio,z_star,w_star,n_star,s_at_q_equals_1,s_at_q_equals_0,interior_interval_length,nonnegative_interval_length,branch_exists_at_s_0,branch_exists_at_s_0p1584375,branch_exists_at_s_0p16486816,branch_exists_at_s_0p175,qualitative_class,notes
0.55,0.25,0.06,0.015,0.25,0.6,True,1.375,0.825,4.466666666666667,-0.172875,0.10349999999999995,0.2763749999999999,0.10349999999999995,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.55,0.25,0.06,0.03,0.5,0.6,True,1.375,0.825,4.466666666666667,-0.08075000000000002,0.10349999999999995,0.18424999999999997,0.10349999999999995,True,False,False,False,compensation_branch_present,analytic_grid_entry
0.55,0.25,0.06,0.045,0.75,0.6,True,1.375,0.825,4.466666666666667,0.011374999999999968,0.10349999999999995,0.09212499999999998,0.09212499999999998,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.55,0.25,0.08,0.02,0.25,0.6,True,1.375,0.825,4.466666666666667,-0.14216666666666666,0.2263333333333333,0.36849999999999994,0.2263333333333333,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.55,0.25,0.08,0.04,0.5,0.6,True,1.375,0.825,4.466666666666667,-0.01933333333333334,0.2263333333333333,0.24566666666666664,0.2263333333333333,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.55,0.25,0.08,0.06,0.75,0.6,True,1.375,0.825,4.466666666666667,0.10349999999999995,0.2263333333333333,0.12283333333333335,0.12283333333333335,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.55,0.25,0.1,0.025,0.25,0.6,True,1.375,0.825,4.466666666666667,-0.11145833333333333,0.34916666666666674,0.46062500000000006,0.34916666666666674,True,True,True,True,compensation_branch_present,analytic_grid_entry
0.55,0.25,0.1,0.05,0.5,0.6,True,1.375,0.825,4.466666666666667,0.04208333333333336,0.34916666666666674,0.3070833333333334,0.3070833333333334,False,True,True,True,compensation_branch_present,q_star_outside_interior_interval
0.55,0.25,0.1,0.07500000000000001,0.75,0.6,True,1.375,0.825,4.466666666666667,0.19562500000000008,0.34916666666666674,0.15354166666666666,0.15354166666666666,False,False,False,False,compensation_branch_present,q_star_outside_interior_interval
0.55,0.35,0.06,0.015,0.25,0.6923076923076922,True,1.7874999999999994,1.2374999999999994,3.641666666666668,-0.2498578124999999,0.043068750000000156,0.29292656250000004,0.043068750000000156,True,False,False,False,compensation_branch_present,analytic_grid_entry
