nu,stress,time,n,w,q,z
0.005,0.08,0.0,4.833333333333334,0.6416666666666666,0.672614741580259,1.1916666666666664
0.005,0.08,2.5,4.995754790245164,0.5387982829402829,0.6725389750252083,1.1321135934812199
0.005,0.08,5.0,5.128341974874262,0.4650544725462024,0.6723728578998235,1.0732702192462025
0.005,0.08,7.5,5.22850634978717,0.40900021475139714,0.6721407276015205,1.0291601021280996
0.005,0.08,10.0,5.307226040694142,0.36476750834098576,0.6718569526208342,0.9946731176315389
0.005,0.08,12.5,5.370927988472558,0.3288733841155645,0.6715315334007882,0.9668652940785445
0.005,0.08,15.0,5.423653051649754,0.2991067240800165,0.6711717364598552,0.9439068909368968
0.005,0.08,17.5,5.4680828514647555,0.2739896414053324,0.6707830237824453,0.924594173796579
0.005,0.08,20.0,5.506074183887965,0.2524932198136745,0.6703696146162351,0.9080992629650273
0.005,0.08,22.5,5.538957386588604,0.2338769846759158,0.6699348423181224,0.8938322954021475
0.005,0.08,25.0,5.567713245329157,0.21759320364945764,0.6694813903145347,0.881360217688052
0.005,0.08,27.5,5.593081847212949,0.20322722480065655,0.6690114536254971,0.8703575946530611
0.005,0.08,30.0,5.615633124225945,0.19045888121736002,0.6685268525185208,0.860574661223362
0.005,0.08,32.5,5.635814096967932,0.17903668445749454,0.6680291146158785,0.8518158852412402
0.005,0.08,35.0,5.653980276796434,0.1687601252335571,0.6675195354217338,0.8439262646366763
0.005,0.08,37.5,5.670418472840507,0.1594672200658146,0.6669992237828426,0.8367809737603454
0.005,0.08,40.0,5.68536272579063,0.15102557408995154,0.6664691366215671,0.8302783667860856
0.005,0.08,42.5,5.699006130901468,0.1433258264929104,0.6659301059382997,0.8243347092722885
0.005,0.08,45.0,5.711509439217155,0.13627681401198696,0.6653828598216175,0.8188804134375254
0.005,0.08,47.5,5.723007712527714,0.12980187248872835,0.6648280394114608,0.8138570816502245
0.005,0.08,50.0,5.733615287754207,0.12383604795334252,0.6642662122938879,0.8092153309591179
0.005,0.08,52.5,5.743429595108591,0.11832390684464433,0.6636978835611699,0.8049131647134319
0.005,0.08,55.0,5.752534305358963,0.11321784585582112,0.6631235046816361,0.8009145154518831
0.005,0.08,57.5,5.761001608612487,0.10847673257802763,0.6625434810080775,0.7971883254761525
0.005,0.08,60.0,5.76889417434597,0.10406484215562092,0.6619581778202549,0.7937076501650759
0.005,0.08,62.5,5.776266716737627,0.09995097863840356,0.6613679255931455,0.7904489712906363
0.005,0.08,65.0,5.783167146582701,0.09610777889608042,0.660773024278558,0.7873917411878852
0.005,0.08,67.5,5.7896377172867926,0.09251113757927872,0.6601737469683268,0.7845178118005957
0.005,0.08,70.0,5.795715708957403,0.0891397273003995,0.6595703431154875,0.781811230408864
0.005,0.08,72.5,5.801434294768259,0.08597461333082387,0.6589630411268994,0.779257758567584
0.005,0.08,75.0,5.806822916210819,0.08299892090150669,0.6583520507530454,0.7768448295543415
0.005,0.08,77.5,5.811908015888953,0.08019756031911535,0.6577375650850792,0.7745610904585984
0.005,0.08,80.0,5.816713152595425,0.07755699909172835,0.6571197622621279,0.7723965149795134
0.005,0.08,82.5,5.8212596485175085,0.07506506335375039,0.6564988070100548,0.770341954795408
0.005,0.08,85.0,5.825566666021116,0.07271077153072168,0.6558748519702917,0.7683892291148294
0.005,0.08,87.5,5.8296514791345295,0.07048419084732928,0.6552480388797346,0.7665309966848082
0.005,0.08,90.0,5.833529878722454,0.06837631546196131,0.6546184995850786,0.7647604724822513
0.005,0.08,92.5,5.837216123759293,0.06637896169492506,0.653986356948784,0.7630715812124487
0.005,0.08,95.0,5.8407230943987525,0.06448467271913752,0.653351725718581,0.761458899548777
0.005,0.08,97.5,5.84406278540168,0.06268664517390096,0.6527147131411343,0.7599172360910862
0.005,0.08,100.0,5.847245974358589,0.0609786543372332,0.6520754197116763,0.7584420379708444
0.005,0.08,102.5,5.850282604390194,0.05935499766256322,0.6514339396744708,0.7570290646139098
0.005,0.08,105.0,5.853181802316394,0.05781043876931553,0.6507903615898766,0.7556744255809574
0.005,0.08,107.5,5.855951901358092,0.0563401630163972,0.6501447687653799,0.7543746022921775
0.005,0.08,110.0,5.858600718822809,0.054939736604511784,0.649497239664887,0.7531262112393459
0.005,0.08,112.5,5.861135281063555,0.05360506602953836,0.6488478483565486,0.7519263195735739
0.005,0.08,115.0,5.8635621885902465,0.05233237194390651,0.6481966647591395,0.750772106132514
0.005,0.08,117.5,5.8658875260444026,0.05111815683492957,0.6475437550089983,0.7496609837873348
0.005,0.08,120.0,5.868116925780912,0.04995917996248391,0.6468891817343374,0.748590560923271
0.005,0.08,122.5,5.87025561273623,0.04885243502820851,0.6462330043049529,0.7475586189022285
0.005,0.08,125.0,5.872308437204119,0.04779513042408533,0.6455752790605584,0.7465630990384622
0.005,0.08,127.5,5.874279911160279,0.04678466875754995,0.644916059549518,0.7456020867488378
0.005,0.08,130.0,5.876174234700064,0.045818631744801,0.644255396708596,0.7446738002218023
0.005,0.08,132.5,5.877995319704288,0.04489476641473629,0.6435933390315145,0.7437765805476424
0.005,0.08,135.0,5.879746814837239,0.04401097093618038,0.6429299327438346,0.7429088808932472
0.005,0.08,137.5,5.881432127251948,0.04316528219438143,0.6422652219587268,0.7420692572203377
0.005,0.08,140.0,5.88305444146805,0.042355864937761896,0.6415992488157122,0.741256360260855
0.005,0.08,142.5,5.88461673607467,0.041581002206859945,0.6409320536056282,0.7404689283851371
0.005,0.08,145.0,5.8861217991797306,0.040839086482585905,0.6402636748882117,0.7397057810043505
0.005,0.08,147.5,5.887572242838157,0.04012861141255843,0.6395941496034074,0.7389658124159514
0.005,0.08,150.0,5.888970516215419,0.039448164256152156,0.6389235131745462,0.7382479861950955
0.005,0.08,152.5,5.890318917399746,0.03879641910786342,0.6382517996025869,0.7375513301590574
0.005,0.08,155.0,5.8916196040857285,0.0381721307674251,0.6375790415529398,0.7368749318135134
0.005,0.08,157.5,5.892874603367792,0.03757412911816612,0.6369052704364057,0.7362179341807087
0.005,0.08,160.0,5.894085820785763,0.037001313932760294,0.6362305164850631,0.7355795319481433
0.005,0.08,162.5,5.895255048656018,0.036452650089185176,0.6355548088231884,0.7349589679214642
0.005,0.08,165.0,5.896383973661025,0.035927163211714935,0.6348781755329992,0.7343555297939272
0.005,0.08,167.5,5.897474183795676,0.035423935680104136,0.6342006437158643,0.7337685471908865
0.005,0.08,170.0,5.898527174767897,0.03494210295163184,0.6335222395496065,0.7331973889471385
0.005,0.08,172.5,5.89954435586598,0.034480850188975516,0.6328429883419218,0.7326414606117115
0.005,0.08,175.0,5.900527055500213,0.03403940907450082,0.6321629145814043,0.7321002020919534
0.005,0.08,177.5,5.90147652617842,0.033617054947934204,0.6314820419844601,0.7315730855403131
0.005,0.08,180.0,5.9023939491286885,0.033213104151695504,0.6308003935394088,0.7310596133862829
0.005,0.08,182.5,5.903280438542319,0.032826911582974565,0.630117991547872,0.730559316541373
0.005,0.08,185.0,5.90413704558293,0.03245786839787238,0.629434857664112,0.7300717526858648
0.005,0.08,187.5,5.904964762015929,0.03210539991506312,0.6287510129317101,0.7295965047356747
0.005,0.08,190.0,5.9057645235656695,0.03176896367065531,0.6280664778181804,0.7291331794303422
0.005,0.08,192.5,5.9065372131874465,0.03144804757383488,0.6273812722480545,0.7286814059053855
0.005,0.08,195.0,5.907283663856827,0.031142168255574077,0.6266954156335095,0.728240834554266
0.005,0.08,197.5,5.908004661404332,0.03085086946359904,0.6260089269042461,0.7278111357987357
0.005,0.08,200.0,5.908700946930776,0.030573720660134304,0.6253218245345765,0.7273919990757566
0.005,0.08,202.5,5.9093732190850785,0.030310315696048855,0.6246341265693086,0.7269831318855396
0.005,0.08,205.0,5.910022136370038,0.030060271530388386,0.6239458506490049,0.726584258766241
0.005,0.08,207.5,5.910648319056289,0.02982322705715333,0.6232570140337568,0.7261951205532245
0.005,0.08,210.0,5.91125235113417,0.029598842017445982,0.6225676336256926,0.725815473515051
0.005,0.08,212.5,5.911834782120863,0.029386796026346258,0.6218777259898591,0.7254450885194577
0.005,0.08,215.0,5.912396128298053,0.029186787616576393,0.6211873073748857,0.7250837507520373
0.005,0.08,217.5,5.912936874874393,0.028998533364209687,0.6204963937323335,0.7247312584280646
0.005,0.08,220.0,5.913457476865078,0.028821767075761597,0.6198050007352989,0.7243874227258271
0.005,0.08,222.5,5.913958359946006,0.028656239034136364,0.6191131437961407,0.7240520676865242
0.005,0.08,225.0,5.914439924441151,0.028501715317480043,0.6184208380828162,0.723725026908036
0.005,0.08,227.5,5.914902542342864,0.02835797704941083,0.6177280985369825,0.7234061472743926
0.005,0.08,230.0,5.915346555401937,0.028224819918596974,0.6170349398880435,0.7230952913461327
0.005,0.08,232.5,5.915772298881669,0.028102053540748493,0.6163413766665139,0.7227923142442493
0.005,0.08,235.0,5.916180073793864,0.027989500896935096,0.6156474232221133,0.7224970919758678
0.005,0.08,237.5,5.916570128913407,0.02788699794568795,0.6149530937381258,0.7222095398075719
0.005,0.08,240.0,5.916942732649388,0.027794393168545203,0.6142584022388161,0.7219295408487338
0.005,0.08,242.5,5.917298125521673,0.027711547043428174,0.6135633626074967,0.721656994101566
0.005,0.08,245.0,5.917636533925439,0.027638331663844704,0.6128679885966805,0.7213918010773834
0.005,0.08,247.5,5.917958144089004,0.027574630396068663,0.6121722938430602,0.721133892181594
0.005,0.08,250.0,5.918263120092687,0.027520337512181983,0.6114762918784269,0.7208832090617976
0.005,0.08,252.5,5.918551603672147,0.02747535807385062,0.6107799961405483,0.7206397049206695
0.005,0.08,255.0,5.918823750645182,0.027439607492360407,0.6100834199811452,0.7204033085291244
0.005,0.08,257.5,5.91907969617046,0.02741301128119515,0.6093865766805759,0.7201739592150119
0.005,0.08,260.0,5.919319529980401,0.027395504735157603,0.608689479459814,0.7199516319511087
0.005,0.08,262.5,5.919543333041659,0.027387032871952082,0.6079921414882485,0.7197363007530557
0.005,0.08,265.0,5.919751163760221,0.027387550108167055,0.607294575895305,0.7195279527982787
0.005,0.08,267.5,5.919943094128232,0.0273970202312212,0.606596795776803,0.7193265523072135
0.005,0.08,270.0,5.920119153312934,0.02741541610511851,0.6058988142102504,0.7191320972486148
0.005,0.08,272.5,5.92027936370473,0.027442719574905357,0.6052006442614895,0.7189445833870314
0.005,0.08,275.0,5.920423726832684,0.02747892135078706,0.6045022989950133,0.7187640184831956
0.005,0.08,277.5,5.920552237940875,0.027524020932124933,0.603803791482503,0.7185904077936672
0.005,0.08,280.0,5.920664870638353,0.027578026387367126,0.6031051348140714,0.7184237696409469
0.005,0.08,282.5,5.920761570094564,0.027640954437810148,0.6024063421074255,0.7182641421342927
0.005,0.08,285.0,5.920842272314825,0.027712830217700952,0.6017074265164318,0.7181115641341407
0.005,0.08,287.5,5.920906935529515,0.027793687510265723,0.6010084012361906,0.7179660436268865
0.005,0.08,290.0,5.920955486093745,0.027883568404726493,0.6003092795183846,0.7178276121681955
0.005,0.08,292.5,5.920987800609505,0.02798252346565546,0.5996100746808007,0.7176963425915064
0.005,0.08,295.0,5.921003758971725,0.028090611606230585,0.5989108001128151,0.7175722960887111
0.005,0.08,297.5,5.92100321351426,0.028207900166237296,0.5982114692870142,0.7174555529861694
0.005,0.08,300.0,5.9209860168638295,0.02833446490566263,0.5975120957657238,0.7173461848971748
0.005,0.08,302.5,5.920952052590603,0.028470390145523994,0.5968126932075313,0.7172442239305402
0.005,0.08,305.0,5.9209011340199895,0.028615768590617482,0.5961132753862567,0.71714976405606
0.005,0.08,307.5,5.9208330400612015,0.02877070147998988,0.5954138561965778,0.7170629251254756
0.005,0.08,310.0,5.920747576930451,0.02893529874512835,0.5947144496606559,0.7169837909910872
0.005,0.08,312.5,5.92064452165473,0.029109678910671236,0.5940150699352718,0.7169124661012654
0.005,0.08,315.0,5.920523633262059,0.02929396926352912,0.5933157313249368,0.7168490641410789
0.005,0.08,317.5,5.920384665711417,0.029488306090149127,0.592616448297618,0.7167936948651009
0.005,0.08,320.0,5.9202273499360505,0.029692834470283102,0.5919172354749386,0.7167464822603333
0.005,0.08,322.5,5.920051384098374,0.02990770860883127,0.5912181076694543,0.7167075739594613
0.005,0.08,325.0,5.919856480217475,0.030133092091242184,0.5905190798782366,0.7166770943579499
0.005,0.08,327.5,5.9196423218640355,0.030369157644873485,0.5898201672871198,0.716655187157758
0.005,0.08,330.0,5.91940853719019,0.030616087378483273,0.589121385306809,0.7166420420979938
0.005,0.08,332.5,5.91915479262279,0.030874073281711514,0.5884227495484664,0.7166378007621651
0.005,0.08,335.0,5.918880750317492,0.031143317276229987,0.5877242758603982,0.7166425990729447
0.005,0.08,337.5,5.9185859946801544,0.03142403070565756,0.5870259803381274,0.7166566412808549
