D_n,D_w,D_q,D_w_over_D_n,D_q_over_D_n,stress,q_star,zero_mode_growth,max_nonzero_mode_growth,most_unstable_m,most_unstable_n,most_unstable_lambda,positive_modes_count,near_zero_modes_count,nonzero_modes_stable,stability_class
0.01,0.001,0.0005,0.1,0.05,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023606811138503415,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.0005,0.1,0.05,0.1584375,0.21415079173699889,-0.015893894916853914,-0.015919527077194663,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.0005,0.1,0.05,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014678181794349387,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.0005,0.1,0.05,0.175,0.16622458001768367,-0.012681581449417077,-0.012707415116395568,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.001,0.1,0.1,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023612980147590622,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.001,0.1,0.1,0.1584375,0.21415079173699889,-0.015893894916853914,-0.015925695933657395,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.001,0.1,0.1,0.16486816,0.19554266055783315,-0.01465247062034078,-0.014684350623521542,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.001,0.1,0.1,0.175,0.16622458001768367,-0.012681581449417077,-0.012713583901033488,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.005,0.1,0.5,0.11765625,0.3321577847439918,-0.023581704072263975,-0.023662332220387453,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
0.01,0.001,0.005,0.1,0.5,0.1584375,0.21415079173699889,-0.015893894916853914,-0.01597504678542528,0,1,0.024674011002723394,0,0,True,linearly_spatially_stable
