stress,m,n,lambda_mn,mode_type,n_star,w_star,q_star,zero_mode,max_real_growth,eigenvalues_real,eigenvalues_imag,spatially_stable,notes
0.11765625,0,0,0.0,zero_ode_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,True,-0.023581704072263975,-4.53890509;-0.0235817041;-0.0235817041,0;0.0151533044;-0.0151533044,True,ode_mode
0.11765625,0,1,0.024674011002723394,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.02376675409083466,-4.53915184;-0.0237667541;-0.0237667541,0;0.0150583958;-0.0150583958,True,nonzero_neumann_mode
0.11765625,0,2,0.09869604401089357,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.024321904148198577,-4.53989209;-0.0243219041;-0.0243219041,0;0.0147684653;-0.0147684653,True,nonzero_neumann_mode
0.11765625,0,3,0.22206609902451055,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.025247154249309317,-4.54112584;-0.0252471542;-0.0252471542,0;0.0142668314;-0.0142668314,True,nonzero_neumann_mode
0.11765625,0,4,0.3947841760435743,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.02654250440241887,-4.54285309;-0.0265425044;-0.0265425044,0;0.0135215265;-0.0135215265,True,nonzero_neumann_mode
0.11765625,0,5,0.6168502750680849,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.028207954619070504,-4.54507385;-0.0282079546;-0.0282079546,0;0.012476197;-0.012476197,True,nonzero_neumann_mode
0.11765625,0,6,0.8882643960980422,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.030243504914089343,-4.5477881;-0.0302435049;-0.0302435049,0;0.0110273709;-0.0110273709,True,nonzero_neumann_mode
0.11765625,0,7,1.2090265391334463,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03264915530557046,-4.55099585;-0.0326491553;-0.0326491553,0;0.00895385844;-0.00895385844,True,nonzero_neumann_mode
0.11765625,0,8,1.5791367041742972,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.035424905814863905,-4.5546971;-0.0354249058;-0.0354249058,0;0.00554687532;-0.00554687532,True,nonzero_neumann_mode
0.11765625,0,9,1.9985948912205949,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03334645035093363,-4.55889186;-0.0437950626;-0.0333464504,0;0;0,True,nonzero_neumann_mode
0.11765625,0,10,2.4674011002723395,axial_nonzero_mode,4.833333333333334,0.6416666666666666,0.3321577847439918,False,-0.03235077521513222,-4.56358011;-0.0518226394;-0.0323507752,0;0;0,True,nonzero_neumann_mode
