D_n,D_w,D_q,stress,lambda_value,q_star,max_real_growth,eigenvalues_real,eigenvalues_imag,positive_lambda
0.01,0.01,0.0,0.11765625,0.0,0.3321577847439918,-0.023581704072263975,-4.538905089;-0.02358170407;-0.02358170407,0;0.01515330439;-0.01515330439,False
0.01,0.01,0.0,0.11765625,0.33744490506562613,0.3321577847439918,-0.02526879018630393,-4.542279815;-0.02526879019;-0.02526879019,0;0.01218404937;-0.01218404937,True
0.01,0.01,0.0,0.11765625,0.6748898101312523,0.3321577847439918,-0.026955876505867928,-4.545654541;-0.02695587651;-0.02695587651,0;0.007847617965;-0.007847617965,True
0.01,0.01,0.0,0.11765625,1.0123347151968785,0.3321577847439918,-0.023077424611095843,-4.549029266;-0.03420850145;-0.02307742461,0;0;0,True
0.01,0.01,0.0,0.11765625,1.3497796202625045,0.3321577847439918,-0.0189621160964748,-4.55240399;-0.04169798342;-0.0189621161,0;0;0,True
0.01,0.01,0.0,0.11765625,1.6872245253281306,0.3321577847439918,-0.01674693748477112,-4.555778715;-0.0472873359;-0.01674693748,0;0;0,True
0.01,0.01,0.0,0.11765625,2.024669430393757,0.3321577847439918,-0.015188759479222578,-4.559153438;-0.05221968818;-0.01518875948,0;0;0,True
0.01,0.01,0.0,0.11765625,2.362114335459383,0.3321577847439918,-0.0139866335847555,-4.562528162;-0.05679598876;-0.01398663358,0;0;0,True
0.01,0.01,0.0,0.11765625,2.699559240525009,0.3321577847439918,-0.013011982505712918,-4.565902885;-0.06114481492;-0.01301198251,0;0;0,True
0.01,0.01,0.0,0.11765625,3.037004145590635,0.3321577847439918,-0.012196351777270287,-4.569277607;-0.06533462114;-0.01219635178,0;0;0,True
0.01,0.01,0.0,0.11765625,3.374449050656261,0.3321577847439918,-0.01149847613898829,-4.57265233;-0.06940667267;-0.01149847614,0;0;0,True
0.01,0.01,0.0,0.11765625,3.7118939557218873,0.3321577847439918,-0.010891381749600904,-4.576027051;-0.07338794336;-0.01089138175,0;0;0,True
0.01,0.01,0.0,0.11765625,4.049338860787514,0.3321577847439918,-0.010356396018662102,-4.579401773;-0.07729710579;-0.01035639602,0;0;0,True
0.01,0.01,0.0,0.11765625,4.3867837658531394,0.3321577847439918,-0.009880026675644695,-4.582776494;-0.08114765224;-0.009880026676,0;0;0,True
0.01,0.01,0.0,0.11765625,4.724228670918766,0.3321577847439918,-0.009452194156550544,-4.586151214;-0.08494966226;-0.009452194157,0;0;0,True
