D_n,D_w,D_q,stress,lambda_min,lambda_max,lambda_points,mode_range_i_j,zero_mode_growth,max_growth_for_positive_lambda,lambda_at_max_positive_growth,positive_growth_count,positive_lambda_stable,notes
0.01,0.01,0.0,0.11765625,0.0,202.12949813431004,600,0..64,-0.023581704072263975,-0.000629400241601046,202.12949813431004,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.0,0.1584375,0.0,202.12949813431004,600,0..64,-0.015893894916853914,-0.0004642573409481713,202.12949813431004,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.0,0.16486816,0.0,202.12949813431004,600,0..64,-0.01465247062034078,-0.0004320935421609504,202.12949813431004,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.0,0.175,0.0,202.12949813431004,600,0..64,-0.012681581449417077,-0.00037815330845499543,202.12949813431004,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.001,0.11765625,0.0,202.12949813431004,600,0..64,-0.023581704072263975,-0.014691975871026693,5.399118481050018,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.001,0.1584375,0.0,202.12949813431004,600,0..64,-0.015893894916853914,-0.01339847850569179,5.736563386115645,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.001,0.16486816,0.0,202.12949813431004,600,0..64,-0.01465247062034078,-0.013049226449026587,5.736563386115645,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.001,0.175,0.0,202.12949813431004,600,0..64,-0.012681581449417077,-0.012387410131749037,5.399118481050018,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.005,0.11765625,0.0,202.12949813431004,600,0..64,-0.023581704072263975,-0.026112471628892908,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.005,0.1584375,0.0,202.12949813431004,600,0..64,-0.015893894916853914,-0.01842468334130465,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.005,0.16486816,0.0,202.12949813431004,600,0..64,-0.01465247062034078,-0.017183262776200504,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.005,0.175,0.0,202.12949813431004,600,0..64,-0.012681581449417077,-0.015212379694428934,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.01,0.11765625,0.0,202.12949813431004,600,0..64,-0.023581704072263975,-0.026956153122920205,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.01,0.1584375,0.0,202.12949813431004,600,0..64,-0.015893894916853914,-0.019268343967510232,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.01,0.16486816,0.0,202.12949813431004,600,0..64,-0.01465247062034078,-0.018026919670997076,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.01,0.175,0.0,202.12949813431004,600,0..64,-0.012681581449417077,-0.016056030500073308,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.05,0.11765625,0.0,202.12949813431004,600,0..64,-0.023581704072263975,-0.03370560693382391,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.05,0.1584375,0.0,202.12949813431004,600,0..64,-0.015893894916853914,-0.02601763021093955,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.05,0.16486816,0.0,202.12949813431004,600,0..64,-0.01465247062034078,-0.0247761759590793,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
0.01,0.01,0.05,0.175,0.0,202.12949813431004,600,0..64,-0.012681581449417077,-0.02280523790895557,0.33744490506562613,0,True,linear_modal_dq_sensitivity_no_pde_simulation
