run_id,sweep_direction,step_index,stress,T,n_x,n_y,seed,initial_source,physical,classification,tail_mean_w,tail_min_w,tail_slope_w,tail_mean_q,tail_q_change,previous_window_mean_w,latest_window_mean_w,relative_change_between_last_windows,rhs_norm,state_norm,normalized_residual,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,notes
upward_step00_s0p09,upward,0,0.09,1200.0,64,64,20260702,baseline_burn_in,True,persistent_steady,0.6416666666003096,0.6416666657698682,1.2229181214309299e-12,0.4121855156363461,-0.2604292259450407,0.6416664898300919,0.6416666666003096,2.754861294573976e-07,1.6145591665618066e-14,4.893132342530312,3.2996433644933745e-15,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step01_s0p105,upward,1,0.105,1200.0,64,64,20260702,upward_previous_stress_0.09,True,persistent_steady,0.641666666664531,0.6416666666580474,1.7430665877120984e-14,0.3687806446434699,-0.04340487099029017,0.6416666572226687,0.641666666664531,1.4714590801525802e-08,3.5314709870421897e-15,4.8896673083232605,7.22231343026318e-16,4.830847690143768,0.5192395966851991,0.36831671796639354,0.4121855156337605,1.086158590793516,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step02_s0p11765625,upward,2,0.11765625,1200.0,64,64,20260702,upward_previous_stress_0.105,True,persistent_steady,0.6416666666244163,0.6416666662513056,7.421693496561803e-13,0.3321577847465407,-0.03662285989616865,0.6416667099267305,0.6416666666244163,-6.748412144329795e-08,1.4149183018813658e-14,4.887041642567391,2.8952450283154187e-15,4.8280034769999265,0.5300494623205525,0.3312364569423301,0.3687806446427094,1.0936226411612162,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step03_s0p125,upward,3,0.125,1200.0,64,64,20260702,upward_previous_stress_0.11765625,True,persistent_steady,0.6416666666415052,0.6416666661400079,6.288480048692655e-13,0.310907483317594,-0.021250301426419704,0.6416667296672033,0.6416666666415052,-9.822185753278725e-08,7.46575826189766e-15,4.8856433235980345,1.5281013711822702e-15,4.830047773130618,0.5735558777847224,0.31036624583458555,0.33215778474401375,1.1310323560148312,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step04_s0p135,upward,4,0.135,1200.0,64,64,20260702,upward_previous_stress_0.125,True,persistent_steady,0.6416666670859417,0.6416666665129328,-4.85514359898649e-12,0.2819709025731482,-0.028936580748240404,0.6416669832606733,0.6416666670859417,-4.927395983686203e-07,6.600122755296872e-13,4.883887264502294,1.351407679548368e-13,4.8230508016058184,0.5420980013636196,0.28039260608185557,0.3109074833213887,1.1020770658226664,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step05_s0p141262205,upward,5,0.141262205,1200.0,64,64,20260702,upward_previous_stress_0.135,True,persistent_steady,0.6416666675546888,0.641666666568204,-1.1723355240335974e-11,0.2638502225094128,-0.018120680151901658,0.6416670081896579,0.6416666675546888,-5.308594095891551e-07,1.5422048854886043e-12,4.882874579854188,3.1583954497857645e-13,4.826682681289305,0.5763495432501263,0.2628772067447273,0.2819709026613145,1.1323061843355116,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step06_s0p15,upward,6,0.15,1200.0,64,64,20260702,upward_previous_stress_0.141262205,True,persistent_steady,0.6416666747503165,0.6416666651819842,-1.2073652075179517e-10,0.23856603078360497,-0.025284191867800537,0.6416679502884309,0.6416666747503165,-1.98784763036914e-06,1.660202588920392e-11,4.881573616798527,3.4009578042770545e-12,4.815710620566386,0.5430691101463355,0.23616439004748088,0.26385022265140556,1.1012636365290502,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step07_s0p1584375,upward,7,0.1584375,1200.0,64,64,20260702,upward_previous_stress_0.15,True,persistent_steady,0.6416667035064213,0.6416666575438847,-5.64204449039907e-10,0.21415078826898754,-0.02441524338802431,0.6416699887378284,0.6416667035064213,-5.11981464739733e-06,1.1095623539933189e-10,4.880441352946327,2.2734877314394426e-11,4.808458838817457,0.5381969719498023,0.2110056691271866,0.23856603165701193,1.0958470696624119,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step08_s0p16486816,upward,8,0.16486816,1200.0,64,64,20260702,upward_previous_stress_0.1584375,True,persistent_steady,0.6416667479249455,0.6416666442164722,-1.2079866808038527e-09,0.1955426527092698,-0.01860813891882626,0.6416721328934649,0.6416667479249455,-8.392087241105953e-06,3.5589556859845944e-10,4.879660256836841,7.293449745805927e-11,4.811821702534436,0.55769583094735,0.1929906750186042,0.21415079162809608,1.1132656929580453,0,0.0,steady_by_tail_change_and_rhs_residual
upward_step09_s0p175,upward,9,0.175,1200.0,64,64,20260702,upward_previous_stress_0.16486816,True,persistent_steady,0.6416675715250107,0.6416663213718132,-1.0667368953289143e-08,0.16622446170589789,-0.029318198607594076,0.6417163890521391,0.6416675715250107,-7.607336817512524e-05,6.881647627087718e-09,4.878573619960567,1.410585995654882e-09,4.754831791909604,0.486012915534486,0.1577646836608203,0.19554266031349196,1.0448303064458502,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step00_s0p175,downward,0,0.175,1200.0,64,64,20260702,baseline_burn_in,True,extinct_steady,8.343471227287367e-10,3.0340769187477036e-10,-4.660554817390817e-12,8.496840828899445e-05,-0.6725297731730978,5.02537340065222e-09,8.343471227287367e-10,-4.1910262779234824e-05,1.403281174690173e-07,6.116663905898825,2.2941936916574217e-08,4.833170805379261,3.034016449904813e-10,1.4315915144832213e-05,0.6726482997526597,0.5500027604747948,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step01_s0p16486816,downward,1,0.16486816,1200.0,64,64,20260702,downward_previous_stress_0.175,True,extinct_steady,2.862050916847168e-08,1.4083276020641645e-08,1.187368414962597e-10,8.142914355941066e-10,-1.4315134044714647e-05,7.861299517441429e-09,2.862050916847168e-08,0.0002075920965103025,4.822425487403436e-10,6.11666656547864,7.8840744967534e-11,6.1166639058750025,3.034016449904813e-10,1.3718501702245814e-10,1.4315985066064794e-05,0.5500000092128943,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step02_s0p1584375,downward,2,0.1584375,1200.0,64,64,20260702,downward_previous_stress_0.16486816,True,recovery_transient,0.007124251639556065,0.0007742978872398947,7.25220936845465e-05,7.835111659899798e-15,-1.371774170142549e-10,0.00022393568764480007,0.007124251639556065,30.813828847398074,0.0010514542120411959,6.059077418438218,0.00017353371469417826,6.059007385596024,5.061536039116833e-08,1.3583139569945895e-15,1.3718549261231127e-10,0.5500000505602546,0,0.0,window_change_indicates_transient
downward_step03_s0p15,downward,3,0.15,1200.0,64,64,20260702,downward_previous_stress_0.1584375,True,persistent_steady,1.3471040091261322,1.3471040089995283,-5.072454002749516e-13,3.198202757819003e-11,3.198066926271842e-11,1.3471040091796131,1.3471040091261322,-3.970071875964367e-11,4.646827062879745e-12,3.6780310511258265,1.2634007158415302e-12,3.4224586483029635,0.02890619066491749,7.731349187210404e-16,1.0464178178411923e-10,0.5787510912930351,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step04_s0p141262205,downward,4,0.141262205,1200.0,64,64,20260702,downward_previous_stress_0.15,True,persistent_steady,1.384148111511363,1.3840708632794918,-3.019953438779832e-07,1.9346096345730294e-05,1.9345991705179207e-05,1.3841789871309103,1.384148111511363,-2.2306088904937285e-05,2.9525577159672933e-06,3.623308550413954,8.148789082922488e-07,3.3483065178151907,1.347104008999526,1.0463948163698717e-10,6.609937947136116e-05,1.895629725359838,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step05_s0p135,downward,5,0.135,1200.0,64,64,20260702,downward_previous_stress_0.141262205,True,declining_transient,0.6527060211987935,0.6405563740072732,-0.00017482478839135997,0.2808848764832898,0.28081877776930914,1.0368262781991835,0.6527060211987935,-0.37047696907099137,7.851364447906346e-06,4.883996462533082,1.6075696426352938e-06,3.2976442671414055,0.6405561756173903,6.609812560813066e-05,0.2822956597150659,1.1906604662614781,0,0.0,window_change_indicates_transient
downward_step06_s0p125,downward,6,0.125,1200.0,64,64,20260702,downward_previous_stress_0.135,True,persistent_steady,0.6416666667510864,0.64166666665138,-1.4348897391968483e-12,0.31090748331503354,0.028942078886104783,0.6416666475113588,0.6416666667510864,2.998399194270367e-08,3.528228675452802e-14,4.88564332359709,7.221625570601658e-15,4.657989825822205,0.641141539478825,0.28196538411282146,0.3110714373251627,1.1908797488225167,0,0.0,steady_by_tail_change_and_rhs_residual
downward_step07_s0p11765625,downward,7,0.11765625,1200.0,64,64,20260702,downward_previous_stress_0.125,True,persistent_steady,0.6416666666865618,0.6416666666658131,-2.9712371114518723e-13,0.3321577847412802,0.02125030142006573,0.6416666711117802,0.6416666666865618,-6.8964442336717404e-09,8.004975058311629e-15,4.887041642567653,1.6380001734762818e-15,4.710176579217311,0.6414094759928023,0.3109074833212145,0.33224169937972853,1.1911236011816166,0,0.0,steady_by_tail_change_and_rhs_residual
