stress,final_status,latest_tail_mean_w,previous_tail_mean_w,relative_change_latest,horizon_sequence,tail_fraction_disagreement,slope_rule_disagreement,physical_failure,notes
0.09,persistent_confirmed,0.6416666666667089,0.6416666666003096,1.0347947608087521e-10,T500:persistent_like;T800:persistent_like;T1200:persistent_like;T1600:persistent_like,False,False,False,"tail0.25=persistent_confirmed,tail0.35=persistent_confirmed,tail0.50=persistent_confirmed"
0.105,persistent_confirmed,0.6416666666656611,0.6416666722118214,-8.643366640301887e-09,T500:persistent_like;T800:persistent_like;T1200:persistent_like;T1600:persistent_like,False,True,False,"tail0.25=persistent_confirmed,tail0.35=persistent_confirmed,tail0.50=persistent_confirmed"
0.11765625,persistent_confirmed,0.641666666657342,0.6416668986117094,-3.6148719529241195e-07,T500:declining_transient;T800:persistent_like;T1200:persistent_like;T1600:persistent_like,False,True,False,"tail0.25=persistent_confirmed,tail0.35=persistent_confirmed,tail0.50=persistent_confirmed"
0.125,persistent_confirmed,0.6416666649307858,0.6416687696538876,-3.280077200794274e-06,T500:declining_transient;T800:persistent_like;T1200:persistent_like;T1600:persistent_like,False,True,False,"tail0.25=persistent_confirmed,tail0.35=persistent_confirmed,tail0.50=persistent_confirmed"
0.135,persistent_confirmed,0.6416665691968978,0.6414776732438257,0.00029447003528109404,T500:persistent_like;T800:declining_transient;T1200:persistent_like;T1600:persistent_like,True,True,False,"tail0.25=persistent_confirmed,tail0.35=persistent_confirmed,tail0.50=indeterminate"
0.141262205,indeterminate,0.6416767991190964,0.6471002352840938,-0.008381137680496097,T500:persistent_like;T800:declining_transient;T1200:persistent_like;T1600:persistent_like,True,True,False,"tail0.25=persistent_confirmed,tail0.35=indeterminate,tail0.50=indeterminate"
0.15,declining_transient,0.6685306349711784,1.0995405404154535,-0.39199091766222743,T500:persistent_like;T800:recovery_transient;T1200:declining_transient;T1600:persistent_like,True,True,False,"tail0.25=indeterminate,tail0.35=declining_transient,tail0.50=declining_transient"
0.1584375,indeterminate,1.3078156824623246,0.3279172353050575,2.9882492948126966,T500:extinct_like;T800:recovery_transient;T1200:recovery_transient;T1600:persistent_like,True,False,False,"tail0.25=recovery_transient,tail0.35=indeterminate,tail0.50=indeterminate"
0.16486816,indeterminate,0.00014178281058856577,3.008757560613708e-05,1.1169523498242868,T500:extinct_like;T800:extinct_like;T1200:extinct_like;T1600:recovery_transient,True,False,False,"tail0.25=indeterminate,tail0.35=indeterminate,tail0.50=extinct_confirmed"
0.175,extinct_confirmed,1.175010000843034e-10,8.343471227287367e-10,-7.168461226444333e-06,T500:extinct_like;T800:extinct_like;T1200:extinct_like;T1600:extinct_like,False,False,False,"tail0.25=extinct_confirmed,tail0.35=extinct_confirmed,tail0.50=extinct_confirmed"
