run_id,stress,T,n_x,n_y,seed,tail_fraction,physical,persistent_predator,persistent_without_slope_check,tail_mean_w,tail_min_w,tail_slope_w,tail_slope_floor_w,tail_mean_q,tail_q_change,tail_mean_var_q,tail_mean_min_z,min_n,min_w,min_q,max_q,min_z,q_clip_count,q_clip_max_violation,classification_note
PDE_EVO_s0p09_T500_tail0p25,0.09,500.0,64,64,20260702,0.25,True,True,True,0.6430022514423489,0.6417759963756511,-3.1566657355326885e-05,-0.0012860045028846977,0.41199753076024653,-0.26061721082114025,1.2233946810433287e-17,1.1928260172913392,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p09_T500_tail0p35,0.09,500.0,64,64,20260702,0.35,True,True,True,0.6452729072645672,0.6417759963756511,-7.12634743960287e-05,-0.0009218184389493818,0.4116205732661976,-0.2609941683151892,1.0778505624122302e-16,1.1947937872456216,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p09_T500_tail0p50,0.09,500.0,64,64,20260702,0.5,True,True,True,0.6552633920015495,0.6417759963756511,-0.00020871174882051863,-0.0006552633920015495,0.40965088554492807,-0.2629638560364587,1.922602288048742e-15,1.203461708256912,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p09_T800_tail0p25,0.09,800.0,64,64,20260702,0.25,True,True,True,0.6416664113887053,0.64166602056244,1.6903204014881425e-09,-0.0008020830142358816,0.41218560438189905,-0.26042913719948774,7.571312715817542e-24,1.1916664501359977,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p09_T800_tail0p35,0.09,800.0,64,64,20260702,0.35,True,True,True,0.6416712388353768,0.64166602056244,-8.650505423834855e-08,-0.0005729207489601579,0.4121852473145561,-0.2604294942668307,1.03161903770061e-21,1.1916706699726294,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p09_T800_tail0p50,0.09,800.0,64,64,20260702,0.5,True,True,True,0.6418798047841134,0.64166602056244,-2.6669915282976417e-06,-0.0004011748779900709,0.412157435965163,-0.26045730561622377,1.022466590009384e-18,1.1918518361320045,4.618632974537858,0.1106502413333891,0.36934371128205334,0.6726482997526597,0.7619039821582161,0,0.0,persistent
PDE_EVO_s0p105_T500_tail0p25,0.105,500.0,64,64,20260702,0.25,True,True,True,0.6530989760804606,0.6426246551861735,-0.00025427600534381117,-0.0013061979521609213,0.36722231896474056,-0.30539242261664623,9.760609944679377e-16,1.2017854265030243,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,persistent
PDE_EVO_s0p105_T500_tail0p35,0.105,500.0,64,64,20260702,0.35,True,True,True,0.667192682981205,0.6426246551861735,-0.00045916715446399017,-0.0009531324042588643,0.36457790919285754,-0.30803683238852925,5.552753669746757e-15,1.2142751123976276,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,persistent
PDE_EVO_s0p105_T500_tail0p50,0.105,500.0,64,64,20260702,0.5,True,False,True,0.7091983516928276,0.6426246551861735,-0.0009154120073559018,-0.0007091983516928276,0.3546614232491659,-0.3179533183322209,4.115285342806238e-14,1.2519603173848708,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,slope_check_rejects
PDE_EVO_s0p105_T800_tail0p25,0.105,800.0,64,64,20260702,0.25,True,True,True,0.6416492587466893,0.6416027195643046,3.0764179953704476e-07,-0.0008020615734333616,0.3687834075467997,-0.30383133403458706,1.7176328212429488e-21,1.1916513284398393,4.272096472660928,0.04868144847040675,0.26456563712477144,0.6726482997526597,0.6884697213369169,0,0.0,persistent
