model,restart,rank,objective_value,failure_reason,continuous_turing_candidate,discrete_turing_candidate,r_U,r_D,defense_cost,a_U,a_D,vulnerability_contrast,K,e,m,mu_UD,mu_DU,delta_U,delta_D,delta_P,delta_D_over_delta_U,delta_P_over_delta_U,h,L,n_x,q_star,N_star,U_star,D_star,P_star,equilibrium_residual,ode_max_real,continuous_max_spatial_growth,best_k,continuous_unstable_windows,discrete_max_spatial_growth,dominant_discrete_mode,dominant_discrete_k
minimal,0,1,3.812890585633883e-07,no_spatial_instability,False,False,1.14545020240221,1.1382828341827722,0.007167368219437753,0.33194368213609793,0.043017226424122916,0.288926455711975,1.0,0.19450234467966454,0.019303700637718985,8.854176699471673e-05,2.2443200842888844e-05,0.000449449905839414,66.55776220786457,7.068871741779007e-08,148087.16464976923,0.00015727830065014357,nan,20.0,50,0.19461546573656696,0.999998373889233,0.1946151492702627,0.8053832246189703,1.867307074356198e-05,3.8078144117849814e-15,-5.714960474382755e-05,-3.812890585633883e-07,0.502189539748954,,-3.8113748856270863e-07,3,0.47123889803846897
minimal,0,2,7.067037828038996e-07,no_spatial_instability,False,False,1.6063295260666648,1.5931049197703948,0.01322460629626998,0.26887492707849625,0.04340537775853552,0.22546954931996072,1.0,0.4927091150553765,0.11569481952956058,3.75486148537324e-06,2.6872508573771942e-05,8.572726565551558e-07,0.009807411334164715,8.67428126160661e-12,11440.247462895393,1.0118462539634864e-05,nan,20.0,50,0.8489363886109762,0.9999955487785956,0.8489326098071522,0.15106293897144338,3.0412220517884934e-05,4.055561087348661e-17,-1.3195719294857995e-05,-7.067037828038996e-07,20.0,,-7.099883505707097e-07,120,18.84955592153876
minimal,0,3,7.192821185279438e-07,no_spatial_instability,False,False,1.7700931163100846,1.767637464906199,0.0024556514038855948,0.1726786189656875,0.047792050108452444,0.12488656885723506,1.0,0.7004531451719278,0.07429090494814762,1.1212247533535887e-05,1.2777649754758764e-05,0.0007333252051817153,62.802687039676414,6.691303882456014e-07,85640.97701253039,0.0009124606429964362,nan,20.0,50,0.466579236428914,0.9999969396834492,0.4665778085487545,0.5334191311346946,5.103675727951404e-05,1.9468334321414294e-16,-1.2320338611366123e-05,-7.192821185279438e-07,0.251144769874477,,-7.160549317857028e-07,2,0.3141592653589793
minimal,0,4,7.607209311427627e-07,no_spatial_instability,False,False,0.8371216135120566,0.784994427629323,0.05212718588273357,0.9298898896859457,0.06114275600799146,0.8687471336779542,1.0,0.115899145174716,0.029678892477155955,5.1416413564882505e-05,1.5781215297203758e-05,0.025109466570872367,31.600711786326993,1.0679464197291102e-06,1258.5178461331648,4.2531625142843765e-05,nan,20.0,50,0.22438381621979517,0.9999984757535388,0.22438347420355736,0.7756150015499814,4.7421681109637e-06,9.645822019569638e-14,-3.4712871187068045e-05,-7.607209311427627e-07,0.334826359832636,,-7.588572546725244e-07,2,0.3141592653589793
minimal,0,5,1.72286310747508e-06,no_spatial_instability,False,False,1.7562365354249574,1.7461984652655094,0.01003807015944802,0.7205469045203791,0.059758502685527355,0.6607884018348517,1.0,0.20407049322682413,0.01801024177391659,0.00010981405335388616,5.407296074056939e-06,2.9479492211082057e-05,0.2684195933387795,2.8840562116363837e-08,9105.299081029425,0.0009783262856041316,nan,20.0,50,0.043125107694000075,0.9999991870609213,0.04312507263591476,0.9568741144250066,1.6088648821742717e-05,1.756512583203429e-14,-6.247014529327854e-05,-1.72286310747508e-06,3.682089958158996,,-1.722869663990504e-06,23,3.612831551628262
minimal,0,6,2.3679263707798856e-06,no_spatial_instability,False,False,0.5975857876907084,0.5792798744847062,0.018305913206002167,0.27943999006991627,0.03991543388680263,0.23952455618311363,1.0,0.13998131330208974,0.011739733148258697,8.427008827192821e-06,2.073200337509579e-06,2.007276414455933,1.667491965481705,0.0002852351844576879,0.8307236379966504,0.0001421006007959298,nan,20.0,50,0.18349286437558784,0.9999994058958183,0.1834927553617098,0.8165066505341084,4.127372356171672e-06,7.526209667083395e-17,-5.560796475295388e-06,-2.3679263707798856e-06,0.083781589958159,,-7.14596009957987e-06,1,0.15707963267948966
minimal,0,7,2.4424254444438233e-06,no_spatial_instability,False,False,1.0356296516731354,1.0274677303792141,0.008161921293921237,0.4782352338967962,0.10436221076543568,0.3738730231313605,1.0,0.30041504735416547,0.08457013262784242,4.096623385968432e-05,4.180826776964757e-05,0.0026601031640078655,2.372265046304514,3.523481353371475e-07,891.7943779031194,0.00013245656788975034,nan,20.0,50,0.47382640173311996,0.9999923773428442,0.4738227899169082,0.526169587425936,2.7925922622754378e-05,3.8420260212194254e-16,-4.197182769694899e-05,-2.4424254444438233e-06,0.920597489539749,,-2.4424675627557272e-06,6,0.9424777960769379
minimal,0,8,2.4544059823338187e-06,no_spatial_instability,False,False,1.450467123107208,1.4463338250501754,0.004133298057032553,0.345734673344742,0.23572305541410377,0.11001161793063824,1.0,0.24850718006191563,0.06697328744069159,8.187802235380834e-06,7.231640600822238e-06,0.34967946066106964,702.272278860737,3.18972193047551e-05,2008.331508899865,9.121845259213495e-05,nan,20.0,50,0.30710171902923583,0.999980007026306,0.3070955791526459,0.6928844278736601,0.00010738795213371244,1.1506018861476681e-16,-1.0638780435893665e-05,-2.4544059823338187e-06,0.083781589958159,,-2.955714598866575e-06,1,0.15707963267948966
minimal,1,1,8.84535590594759e-08,no_spatial_instability,False,False,1.9459754531423312,1.944250191867597,0.0017252612747342688,0.1354310215660529,0.02727772780479328,0.10815329376125964,1.0,1.2009680858691711,0.08785223035710504,1.0526041455740914e-06,1.0164090436039375e-06,0.0031321294733084462,30.182816987424477,1.4637056369373768e-07,9636.516384344284,4.6731964607812805e-05,nan,20.0,50,0.42415226740316186,0.9999998022173819,0.424152183513216,0.5758476187041659,5.258747145695267e-06,5.213979985680106e-17,-1.0862482069291405e-06,-8.84535590594759e-08,0.334826359832636,,-8.819972110042162e-08,2,0.3141592653589793
minimal,1,2,3.4394186323066023e-07,no_spatial_instability,False,False,1.9174203137516372,1.9038579426778481,0.013562371073789103,0.17003953630952606,0.11555319805015654,0.05448633825936952,1.0,0.8158441285422827,0.1080947262930326,1.7621202193340332e-06,1.2207119720200002e-06,1.8364479833359026e-05,0.07855400907901601,4.210239451244618e-10,4277.497091767493,2.292599349096036e-05,nan,20.0,50,0.31092882965959756,0.9999982249115341,0.3109282777334183,0.6890699471781158,2.556332433567592e-05,1.5299810576687803e-16,-1.8451693412690399e-06,-3.4394186323066023e-07,6.025174476987448,,-3.439412159313185e-07,38,5.969026041820607
minimal,1,3,5.931196214955942e-07,no_spatial_instability,False,False,1.7423744010996465,1.620821500074122,0.12155290102552452,0.11098110923507384,0.018818878646863085,0.09216223058821076,1.0,0.8110102993466047,0.03951989690597687,3.6087266968205527e-06,2.2011136677432673e-06,0.00042518284970298123,0.015643857075912978,1.5366838888714627e-08,36.79324574554515,3.6141718555791696e-05,nan,20.0,50,0.3245403399176949,0.9999995230715866,0.32454018513518545,0.675459337936401,1.6249588231287234e-05,2.4215228473716963e-15,-3.1556741653012374e-06,-5.931196214955942e-07,4.100497907949791,,-5.93077571089383e-07,26,4.084070449666731
